"FMD_f_Longo_2015_A Periodic Diet that Mimics Fasting Promotes Multi-System Regeneration, Enhanced Cognitive Performance, and Healthspan","death","age (years)"
"Control",1,1.2893869068316426
"Control",1,1.5675973982405251
"Control",1,1.6028897801772652
"Control",1,1.6381821621140056
"Control",1,1.6734745440507457
"Control",1,1.7145041875395268
"Control",1,1.7812543036140056
"Control",1,1.7919639450652234
"Control",1,1.7976571507596129
"Control",1,1.8033503564540023
"Control",1,1.8090435621483925
"Control",1,1.814736767842782
"Control",1,1.8204299735371716
"Control",1,1.8261231792315613
"Control",1,1.8472669987090913
"Control",1,1.8684868785921596
"Control",1,1.9032855435263516
"Control",1,1.9482727103174042
"Control",1,1.9652502917957158
"Control",1,1.9791220886393814
"Control",1,1.992993885483047
"Control",1,2.0271487901191576
"Control",1,2.0662693044726788
"Control",1,2.1057801664363023
"Control",1,2.149907031381971
"Control",1,2.1971025224027385
"Control",1,2.2164550417041555
"Control",1,2.229369602265245
"Control",1,2.2422841628263344
"Control",1,2.2561078203490497
"Control",1,2.269950049803
"Control",1,2.28379227925695
"Control",1,2.3105975884492973
"Control",1,2.3425273858317803
"Control",1,2.3746632998578296
"Control",1,2.406799213883879
"Control",1,2.446499317819787
"Control",1,2.489026362924855
"Control",1,2.5093229827855197
"Control",1,2.525412064745173
"Control",1,2.563358284145335
"Control",1,2.618238148827488
"Control",1,2.677307926015045
"Control",1,2.7417951099765685
"Control",1,2.808699623481435
"FMD",1,1.1644159671898127
"FMD",1,1.9298281055264204
"FMD",1,2.0252863981604543
"FMD",1,2.0651307144203717
"FMD",1,2.125661328011897
"FMD",1,2.1345075465867884
"FMD",1,2.14335376516168
"FMD",1,2.1521999837365717
"FMD",1,2.161046202311463
"FMD",1,2.176126978809125
"FMD",1,2.1939692840220695
"FMD",1,2.2132134152360363
"FMD",1,2.2332357863894217
"FMD",1,2.280012684140691
"FMD",1,2.3335548593806483
"FMD",1,2.347741963874964
"FMD",1,2.3619290683692804
"FMD",1,2.376525173178989
"FMD",1,2.3915458324359626
"FMD",1,2.433112615311785
"FMD",1,2.5389685408904987
"FMD",1,2.560238843780882
"FMD",1,2.5807325145853532
"FMD",1,2.598019680303143
"FMD",1,2.621095847050654
"FMD",1,2.705529742507986
"FMD",1,2.72414414386834
"FMD",1,2.742758545228693
